,89,90
u445,0.0,0.0
u446,0.0,0.0
u447,0.0,0.0
u448,0.0,0.0
u449,0.0,0.0
u45,0.0,0.0
u450,0.0,0.0
u451,0.0,0.0
u452,0.0,0.0
u453,0.0,0.0
u454,0.0,0.0
u455,-0.0,-0.0
u456,0.0,0.0
u457,-0.0,-0.0
u458,0.0,0.0
u459,0.0,0.0
u46,-0.0,-0.0
u460,0.0,0.0
u461,0.0,0.0
u462,0.0,0.0
u463,0.0,0.0
u464,0.0,0.0
u465,0.0,0.0
u466,0.0,0.0
u467,0.0,0.0
u468,0.0,0.0
u469,0.0,0.0
u47,0.0,0.0
u470,-0.0,-0.0
u471,0.0,0.0
u472,0.0,0.0
u473,0.0,0.0
u474,0.0,0.0
u475,0.0,0.0
u476,0.0,0.0
u477,0.0,0.0
u478,0.0,0.0
u479,-0.0,-0.0
u48,0.0,0.0
u480,0.0,0.0
u481,0.0,0.0
u482,0.0,0.0
u483,0.0,0.0
u484,0.0,0.0
u485,0.0,0.0
u486,0.0,0.0
u487,0.0,0.0
u488,0.0,0.0
u489,0.0,-0.0
u49,-0.0,-0.0
u490,0.0,0.0
u491,0.0,0.0
u492,0.0,0.0
u493,0.0,0.0
u494,-0.0,-0.0
u495,0.0,0.0
u496,0.0,0.0
u497,0.0,0.0
u498,0.0,0.0
u499,0.0,0.0
u5,0.0,0.0
u50,0.0,0.0
u500,0.0,0.0
u501,0.0,0.0
u502,0.0,0.0
u503,0.0,0.0
u504,0.0,0.0
u505,0.0,0.0
u506,0.0,0.0
u507,0.0,0.0
u508,0.0,0.0
u509,0.0,0.0
u51,0.0,0.0
u510,0.0,0.0
u511,-0.0,-0.0
u512,0.0,0.0
u513,0.0,0.0
u514,-0.0,-0.0
u515,0.0,0.0
u516,0.0,0.0
u517,0.0,0.0
u518,0.0,0.0
u519,0.0,0.0
u52,0.0,0.0
u520,0.0,0.0
u521,0.0,0.0
u522,0.0,0.0
u523,0.0,0.0
u524,0.0,0.0
u525,0.0,0.0
u526,0.0,0.0
u527,-0.0,-0.0
u528,0.0,0.0
u529,0.0,0.0
u53,0.0,0.0
